xcoord;ycoord
-47,7905;13,7717
-47,7785;16,4107
-47,7765;16,4107
-47,7765;16,6137
-47,7745;16,6137
-47,7745;16,6137
-47,7725;16,8167
-47,7725;16,8167
-47,7715;16,8167
-47,7705;16,8167
-47,7685;16,8167
-47,7675;16,8167
-47,7645;16,8167
-47,7635;16,8167
-47,7615;16,8167
-47,7595;16,8167
-47,7585;16,8167
-47,7575;16,8167
-47,7565;16,8167
-47,7565;16,8167
-47,7555;16,8167
-47,7545;16,8167
-47,7545;16,8167
-47,7525;16,8167
-47,7515;17,2227
-47,7486;17,6287
-47,7476;18,0347
-47,7466;18,2377
-47,7456;18,6437
-47,7446;18,8467
-47,7436;19,0497
-47,7426;19,4557
-47,7426;19,4557
-47,7406;19,8617
-47,7396;19,8617
-47,7386;20,0647
-47,7366;20,0647
-47,7356;20,0647
-47,7336;20,0647
-47,7326;20,0647
-47,7306;20,0647
-47,7296;19,8617
-47,7296;19,8617
-47,7286;19,8617
-47,7286;19,8617
-47,7276;19,8617
-47,7266;19,8617
-47,7256;19,8617
-47,7246;20,0647
-47,7226;20,2677
-47,7206;20,6737
-47,7196;20,8767
-47,7176;21,0797
-47,7156;21,0797
-47,7146;21,4857
-47,7136;21,4857
-47,7116;21,4857
-47,7106;21,4857
-47,7096;21,0797
-47,7076;20,8767
-47,7066;20,6737
-47,7056;20,6737
-47,7056;20,4707
-47,7046;20,4707
-47,7036;20,2677
-47,7027;20,0647
-47,7017;20,0647
-47,7007;20,0647
-47,6997;20,0647
-47,6987;20,0647
-47,6977;20,0647
-47,6977;20,0647
-47,6967;20,0647
-47,6957;20,2677
-47,6957;20,4707
-47,6947;20,6737
-47,6937;20,6737
-47,6937;20,8767
-47,6927;21,0797
-47,6927;21,2827
-47,6917;21,4857
-47,6917;21,6887
-47,6907;21,8917
-47,6907;21,8917
-47,6887;22,2977
-47,6887;22,5007
-47,6877;22,9068
-47,6877;23,1098
-47,6877;23,5158
-47,6877;23,7188
-47,6877;23,9218
-47,6877;24,1248
-47,6867;24,7338
-47,6857;24,7338
-47,6857;24,9368
-47,6847;25,3428
-47,6837;25,5458
-47,6837;25,5458
-47,6827;25,5458
-47,6817;25,5458
-47,6817;25,3428
-47,6817;24,9368
-47,6807;24,5308
-47,6807;24,1248
-47,6807;23,9218
-47,6807;23,7188
-47,6797;23,5158
-47,6797;23,5158
-47,6787;23,3128
-47,6787;23,3128
-47,6777;23,3128
-47,6767;23,3128
-47,6767;23,3128
-47,6767;23,3128
-47,6757;23,5158
-47,6757;23,5158
-47,6747;23,7188
-47,6747;24,1248
-47,6737;24,3278
-47,6727;24,5308
-47,6717;24,5308
-47,6717;24,7338
-47,6707;24,7338
-47,6687;24,7338
-47,6687;24,5308
-47,6667;24,3278
-47,6667;23,9218
-47,6657;23,7188
-47,6657;23,3128
-47,6657;23,1098
-47,6657;22,9068
-47,6637;22,5007
-47,6637;22,0947
-47,6627;21,6887
-47,6607;21,0797
-47,6597;20,6737
-47,6577;20,4707
-47,6577;20,0647
-47,6568;19,6587
-47,6558;19,4557
-47,6548;19,2527
-47,6538;19,0497
-47,6528;18,8467
-47,6518;18,6437
-47,6508;18,6437
-47,6508;18,4407
-47,6508;18,4407
-47,6498;18,4407
-47,6498;18,4407
-47,6488;18,4407
-47,6488;18,4407
-47,6468;18,4407
-47,6468;18,4407
-47,6458;18,6437
-47,6448;18,8467
-47,6448;18,8467
-47,6428;19,2527
-47,6418;19,4557
-47,6398;19,6587
-47,6388;19,8617
-47,6378;20,2677
-47,6348;20,4707
-47,6338;20,4707
-47,6338;20,6737
-47,6338;20,6737
-47,6318;20,6737
-47,6308;20,6737
-47,6308;20,6737
-47,6298;20,6737
-47,6278;20,6737
-47,6268;20,6737
-47,6258;20,4707
-47,6248;20,4707
-47,6238;20,2677
-47,6218;20,2677
-47,6208;20,2677
-47,6188;20,2677
-47,6178;20,0647
-47,6168;20,0647
-47,6148;20,0647
-47,6138;20,0647
-47,6138;20,0647
-47,6128;20,0647
-47,6118;20,2677
-47,6109;20,6737
-47,6109;20,8767
-47,6099;21,0797
-47,6089;21,4857
-47,6079;21,6887
-47,6069;22,0947
-47,6059;22,2977
-47,6049;22,7037
-47,6039;22,9068
-47,6039;22,9068
-47,6039;23,1098
-47,6029;23,5158
-47,6019;23,5158
-47,6019;23,7188
-47,6009;23,7188
-47,6009;23,7188
-47,6009;23,7188
-47,5999;23,9218
-47,5989;23,9218
-47,5989;23,9218
-47,5969;24,1248
-47,5939;24,1248
-47,5919;24,1248
-47,5899;24,3278
-47,5879;24,3278
-47,5869;24,5308
-47,5849;24,5308
-47,5839;24,7338
-47,5839;24,7338
-47,5829;24,7338
-47,5809;24,9368
-47,5809;25,1398
-47,5799;25,1398
-47,5779;25,3428
-47,5779;25,3428
-47,5769;25,5458
-47,5759;25,7488
-47,5759;25,9518
-47,5749;25,9518
-47,5739;26,1548
-47,5729;26,1548
-47,5719;26,1548
-47,5719;26,1548
-47,5709;26,1548
-47,5699;26,1548
-47,5689;26,1548
-47,5679;26,1548
-47,5679;26,1548
-47,5669;26,1548
-47,5669;26,1548
-47,566;26,1548
-47,565;26,1548
-47,565;26,1548
-47,565;26,1548
-47,564;25,9518
-47,564;25,7488
-47,564;25,5458
-47,564;25,3428
-47,564;25,1398
-47,564;25,1398
-47,564;24,9368
-47,564;24,7338
-47,564;24,5308
-47,564;24,5308
-47,564;24,1248
-47,564;24,1248
-47,564;23,9218
-47,564;23,9218
-47,564;23,7188
-47,564;23,5158
-47,564;23,5158
-47,564;23,5158
-47,564;23,3128
-47,564;23,3128
-47,563;23,3128
-47,563;23,3128
-47,563;23,3128
-47,562;23,3128
-47,562;23,3128
-47,562;23,3128
-47,562;23,3128
-47,561;23,3128
-47,56;23,3128
-47,56;23,3128
-47,559;23,3128
-47,558;23,1098
-47,558;23,1098
-47,557;23,1098
-47,557;23,1098
-47,556;22,9068
-47,555;22,9068
-47,554;22,9068
-47,553;22,9068
-47,552;22,9068
-47,552;22,9068
-47,551;22,9068
-47,55;22,9068
-47,549;22,9068
-47,548;22,9068
-47,547;22,9068
-47,545;22,9068
-47,545;22,9068
-47,544;23,1098
-47,543;23,1098
-47,542;23,1098
-47,542;23,3128
-47,541;23,5158
-47,541;23,7188
-47,541;23,9218
