xcoord;ycoord
-47,7675;14,5837
-47,7575;13,7717
-47,7565;13,7717
-47,7535;13,7717
-47,7525;13,7717
-47,7505;13,7717
-47,7495;13,7717
-47,7476;13,9747
-47,7466;14,3807
-47,7466;14,3807
-47,7466;14,5837
-47,7456;14,9897
-47,7456;15,1927
-47,7456;15,5987
-47,7456;15,8017
-47,7446;16,0047
-47,7446;16,2077
-47,7446;16,4107
-47,7436;16,6137
-47,7426;16,8167
-47,7406;16,8167
-47,7386;17,2227
-47,7366;17,2227
-47,7356;17,2227
-47,7346;17,4257
-47,7346;17,4257
-47,7336;17,4257
-47,7336;17,4257
-47,7316;17,4257
-47,7306;17,4257
-47,7296;17,4257
-47,7286;17,2227
-47,7266;17,2227
-47,7266;17,2227
-47,7256;17,2227
-47,7236;17,2227
-47,7226;17,2227
-47,7216;17,2227
-47,7216;17,2227
-47,7196;17,2227
-47,7196;17,2227
-47,7186;17,2227
-47,7176;17,2227
-47,7166;17,2227
-47,7156;17,2227
-47,7146;17,2227
-47,7126;17,2227
-47,7096;17,2227
-47,7096;17,2227
-47,7086;17,2227
-47,7076;17,2227
-47,7076;17,2227
-47,7056;17,0197
-47,7046;16,8167
-47,7036;16,6137
-47,7036;16,6137
-47,7036;16,4107
-47,7027;16,4107
-47,7017;16,4107
-47,7017;16,4107
-47,7007;16,4107
-47,7007;16,4107
-47,6997;16,4107
-47,6977;16,4107
-47,6977;16,4107
-47,6977;16,4107
-47,6967;16,4107
-47,6957;16,6137
-47,6957;16,6137
-47,6937;16,6137
-47,6927;16,8167
-47,6917;16,8167
-47,6907;17,0197
-47,6907;17,0197
-47,6897;17,2227
-47,6897;17,2227
-47,6887;17,2227
-47,6877;17,4257
-47,6867;17,6287
-47,6867;17,6287
-47,6867;17,6287
-47,6847;17,8317
-47,6837;18,0347
-47,6837;18,0347
-47,6817;18,0347
-47,6807;17,8317
-47,6797;17,6287
-47,6787;17,6287
-47,6777;17,4257
-47,6767;17,4257
-47,6767;17,0197
-47,6757;17,0197
-47,6747;16,8167
-47,6747;16,8167
-47,6747;16,6137
-47,6747;16,4107
-47,6747;16,4107
-47,6747;16,2077
-47,6747;16,2077
-47,6747;16,0047
-47,6747;16,0047
-47,6747;15,8017
-47,6737;15,5987
-47,6737;15,3957
-47,6737;14,9897
-47,6727;14,9897
-47,6717;14,7867
-47,6717;14,5837
-47,6717;14,5837
-47,6717;14,5837
-47,6707;14,3807
-47,6697;14,3807
-47,6697;14,3807
-47,6697;14,3807
-47,6697;14,3807
-47,6687;14,3807
-47,6677;14,1777
-47,6677;14,1777
-47,6667;14,1777
-47,6657;14,1777
-47,6647;13,9747
-47,6627;13,7717
-47,6627;13,7717
-47,6617;13,7717
-47,6597;13,5687
-47,6597;13,5687
-47,6587;13,5687
-47,6577;13,5687
-47,6577;13,5687
-47,6558;13,7717
-47,6558;13,7717
-47,6548;13,9747
-47,6548;14,3807
-47,6538;14,3807
-47,6528;14,7867
-47,6518;14,7867
-47,6508;14,9897
-47,6498;15,3957
-47,6478;15,3957
-47,6468;15,3957
-47,6448;15,3957
-47,6428;15,5987
-47,6428;15,5987
-47,6418;15,5987
-47,6408;15,5987
-47,6408;15,5987
-47,6398;15,8017
-47,6398;15,8017
-47,6388;16,0047
-47,6378;16,4107
-47,6378;16,4107
-47,6368;16,4107
-47,6358;16,4107
-47,6348;16,4107
-47,6338;16,2077
-47,6328;16,0047
-47,6328;15,8017
-47,6318;15,5987
-47,6308;15,3957
-47,6308;15,1927
-47,6308;15,1927
-47,6298;14,7867
-47,6298;14,5837
-47,6288;14,5837
-47,6288;14,5837
-47,6288;14,5837
-47,6288;14,5837
-47,6288;14,3807
-47,6288;14,3807
-47,6288;14,3807
-47,6278;13,9747
-47,6278;13,9747
-47,6278;13,9747
-47,6278;13,9747
-47,6278;13,9747
-47,6278;13,7717
-47,6278;13,7717
-47,6278;13,5687
-47,6268;13,5687
