xcoord;ycoord
-47,7855;10,1176
-47,7815;10,9296
-47,7805;10,9296
-47,7805;10,9296
-47,7795;10,9296
-47,7795;10,9296
-47,7785;10,9296
-47,7785;10,9296
-47,7775;11,1326
-47,7765;11,1326
-47,7765;11,1326
-47,7765;11,1326
-47,7755;11,1326
-47,7735;11,1326
-47,7725;11,1326
-47,7725;11,1326
-47,7725;11,1326
-47,7715;11,1326
-47,7695;11,1326
-47,7695;11,1326
-47,7675;11,1326
-47,7655;10,9296
-47,7645;10,9296
-47,7635;10,9296
-47,7615;10,7266
-47,7615;10,7266
-47,7605;10,7266
-47,7585;10,7266
-47,7585;10,7266
-47,7575;10,7266
-47,7575;10,7266
-47,7565;10,7266
-47,7555;10,7266
-47,7545;10,7266
-47,7545;10,7266
-47,7535;10,9296
-47,7525;11,1326
-47,7525;11,1326
-47,7515;11,5386
-47,7515;11,7416
-47,7495;12,1476
-47,7495;12,3506
-47,7495;12,5536
-47,7486;12,9596
-47,7466;13,1627
-47,7466;13,1627
-47,7456;13,3657
-47,7446;13,5687
-47,7436;13,7717
-47,7426;13,7717
-47,7416;13,9747
-47,7416;13,9747
-47,7406;14,1777
-47,7396;14,1777
-47,7396;14,1777
-47,7376;14,5837
-47,7376;14,5837
-47,7366;14,5837
-47,7366;14,7867
-47,7356;14,7867
-47,7346;14,7867
-47,7336;14,7867
-47,7326;14,9897
-47,7316;14,9897
-47,7296;14,9897
-47,7296;14,9897
-47,7286;14,9897
-47,7276;14,9897
-47,7266;14,9897
-47,7256;14,9897
-47,7256;14,9897
-47,7236;14,7867
-47,7226;14,5837
-47,7226;14,1777
-47,7216;13,9747
-47,7206;13,9747
-47,7206;13,7717
-47,7196;13,3657
-47,7186;13,1627
-47,7186;13,1627
-47,7176;12,9596
-47,7166;12,7566
-47,7166;12,5536
-47,7156;12,5536
-47,7156;12,5536
-47,7156;12,3506
-47,7146;12,3506
-47,7146;12,3506
-47,7136;12,3506
-47,7126;12,3506
-47,7116;12,3506
-47,7116;12,3506
-47,7106;12,3506
-47,7096;12,3506
-47,7086;12,3506
-47,7076;12,3506
-47,7066;12,1476
-47,7056;12,1476
-47,7046;11,9446
-47,7036;11,9446
-47,7027;11,7416
-47,7027;11,7416
-47,7017;11,5386
-47,7007;11,5386
-47,6997;11,5386
-47,6997;11,5386
