xcoord;ycoord
-47,8499;9,4269
-47,8482;9,4269
-47,8465;9,4269
-47,8431;9,4269
-47,8415;9,4269
-47,8381;9,4269
-47,8381;9,4269
-47,8364;9,2532
-47,8348;9,0794
-47,8348;8,7319
-47,8331;8,5581
-47,8331;8,3844
-47,8314;8,2106
-47,8314;8,2106
-47,8297;8,0369
-47,8281;8,0369
-47,8281;7,8631
-47,8264;7,6893
-47,8247;7,6893
-47,823;7,6893
-47,8197;7,6893
-47,8197;7,6893
-47,818;7,6893
-47,8146;7,8631
-47,813;7,8631
-47,8113;8,0369
-47,8096;8,2106
-47,8079;8,3844
-47,8063;8,5581
-47,8063;8,7319
-47,8046;8,7319
-47,8029;8,9056
-47,8029;8,9056
-47,8012;9,0794
-47,7979;9,2532
-47,7979;9,2532
-47,7945;9,4269
-47,7928;9,4269
-47,7912;9,4269
-47,7895;9,6007
-47,7878;9,6007
-47,7861;9,6007
-47,7861;9,6007
-47,7845;9,6007
-47,7845;9,4269
-47,7845;9,0794
-47,7828;8,7319
-47,7828;8,5581
-47,7828;8,3844
-47,7794;8,2106
-47,7794;8,2106
-47,7778;8,0369
-47,7761;8,0369
-47,7761;8,0369
-47,7744;8,0369
-47,7744;8,0369
-47,7711;8,0369
-47,7694;8,3844
-47,7694;8,5581
-47,7677;8,7319
-47,7643;9,0794
-47,7643;9,0794
-47,7627;9,2532
-47,761;9,4269
-47,761;9,4269
-47,7593;9,4269
-47,7576;9,4269
-47,756;9,4269
-47,7543;9,4269
-47,7526;9,4269
-47,7509;9,4269
-47,7509;9,4269
-47,7493;9,4269
-47,7476;9,4269
-47,7476;9,4269
-47,7459;9,4269
-47,7442;9,6007
-47,7425;9,7744
-47,7409;9,9482
-47,7392;10,122
-47,7358;10,2957
-47,7342;10,4695
-47,7325;10,6432
-47,7308;10,6432
-47,7291;10,6432
-47,7275;10,6432
-47,7275;10,6432
-47,7258;10,817
-47,7258;10,817
-47,7258;10,9907
-47,7241;11,1645
-47,7241;11,3383
-47,7241;11,512
-47,7241;11,512
-47,7241;11,512
-47,7241;11,6858
-47,7241;11,6858
-47,7241;11,8595
-47,7241;12,0333
-47,7241;12,0333
-47,7258;12,2071
-47,7258;12,3808
-47,7275;12,5546
-47,7275;12,5546
-47,7291;12,5546
-47,7308;12,5546
-47,7308;12,7283
-47,7325;12,7283
-47,7342;12,9021
-47,7358;12,9021
-47,7358;13,0758
-47,7375;13,0758
-47,7375;13,0758
-47,7392;13,0758
-47,7392;13,0758
-47,7409;13,0758
-47,7425;13,0758
-47,7425;13,0758
-47,7442;13,0758
-47,7459;13,0758
-47,7476;13,0758
-47,7493;13,0758
-47,7526;13,0758
-47,7543;13,0758
-47,7576;12,9021
-47,7593;12,9021
-47,7627;12,7283
-47,7643;12,7283
-47,7677;12,5546
-47,7711;12,3808
-47,7744;12,3808
-47,7794;12,3808
-47,7878;12,3808
-47,7979;12,3808
-47,7996;12,3808
-47,8012;12,3808
-47,8029;12,5546
-47,8046;12,5546
-47,8046;12,5546
-47,8046;12,5546
-47,8046;12,5546
-47,8079;12,5546
-47,8079;12,5546
-47,8096;12,7283
-47,8096;12,7283
-47,8113;12,7283
-47,8113;12,7283
-47,8113;12,7283
-47,813;12,9021
-47,813;12,9021
-47,813;13,0758
-47,813;13,0758
-47,813;13,0758
-47,813;13,2496
-47,813;13,2496
-47,813;13,2496
-47,813;13,2496
-47,8146;13,2496
-47,8163;13,2496
-47,8197;13,2496
-47,8213;13,2496
-47,8264;13,2496
-47,8297;13,2496
-47,8314;13,2496
-47,8348;13,2496
-47,8364;13,2496
-47,8381;13,2496
-47,8398;13,2496
-47,8431;13,2496
-47,8448;13,2496
-47,8448;13,2496
-47,8499;13,2496
-47,8515;13,2496
-47,8532;13,2496
-47,8582;13,2496
-47,8599;13,2496
-47,8616;13,0758
-47,8633;12,7283
-47,8649;12,7283
-47,8649;12,3808
-47,8683;12,0333
-47,8683;11,8595
-47,8716;11,6858
-47,875;11,3383
-47,88;10,9907
-47,8834;10,9907
-47,8867;10,817
-47,8884;10,817
-47,8884;10,817
-47,8901;10,9907
-47,8901;11,3383
-47,8901;11,8595
-47,8901;12,0333
-47,8884;12,2071
-47,8867;12,3808
-47,8851;12,5546
-47,8851;12,7283
-47,8834;12,9021
-47,8834;13,2496
-47,8834;13,4234
-47,8834;13,5971
-47,8834;13,7709
-47,8867;13,9446
-47,8884;13,9446
-47,8901;13,9446
-47,8918;13,9446
-47,8934;13,9446
-47,8968;13,9446
-47,9018;13,5971
-47,9052;13,4234
-47,9102;13,2496
-47,9152;13,0758
-47,9169;12,9021
-47,9186;12,9021
-47,9203;12,7283
-47,9219;12,3808
-47,9253;12,3808
-47,927;12,3808
-47,9287;12,3808
-47,9303;12,3808
-47,932;12,5546
-47,932;12,7283
-47,932;12,9021
-47,9337;13,2496
-47,9337;13,4234
-47,9337;13,5971
-47,9354;13,9446
-47,937;13,9446
-47,9387;14,2921
-47,9387;14,2921
-47,9404;14,4659
-47,9437;14,8134
-47,9437;14,9872
-47,9437;14,9872
-47,9471;15,1609
-47,9471;15,3347
-47,9488;15,3347
-47,9488;15,3347
-47,9504;15,3347
-47,9521;15,3347
-47,9521;15,3347
-47,9555;15,3347
-47,9555;15,3347
-47,9588;15,3347
-47,9588;15,3347
-47,9588;15,3347
-47,9605;15,3347
-47,9605;15,1609
-47,9605;15,1609
-47,9622;14,8134
-47,9622;14,8134
-47,9655;14,6397
-47,9689;14,4659
-47,9722;14,4659
-47,979;14,2921
-47,9806;14,2921
-47,984;14,2921
-47,9857;14,2921
-47,9873;14,2921
-47,9907;14,2921
-47,9924;14,2921
-47,994;14,2921
-47,9974;14,1184
-48,0007;14,1184
-48,0024;14,1184
-48,0058;13,9446
-48,0091;13,9446
-48,0142;13,7709
-48,0175;13,5971
-48,0192;13,5971
-48,0209;13,5971
-48,0225;13,5971
-48,0242;13,5971
-48,0276;13,5971
-48,0292;13,4234
-48,0343;13,4234
-48,0376;13,2496
-48,0393;13,2496
-48,041;13,0758
-48,0443;13,0758
-48,046;12,9021
-48,0494;12,5546
-48,051;12,5546
-48,051;12,5546
-48,0544;12,3808
-48,0561;12,2071
-48,0594;12,0333
-48,0611;11,8595
-48,0645;11,8595
-48,0661;11,6858
-48,0678;11,512
-48,0695;11,3383
-48,0728;11,3383
-48,0745;11,1645
-48,0762;11,1645
-48,0795;11,1645
-48,0812;11,1645
-48,0846;11,1645
-48,0863;11,1645
-48,0863;11,1645
-48,0896;11,1645
-48,0913;11,3383
-48,0913;11,3383
-48,0913;11,3383
-48,093;11,3383
-48,0946;11,3383
-48,098;11,3383
-48,098;11,3383
-48,103;11,3383
-48,1047;11,3383
-48,108;11,3383
-48,1114;11,3383
-48,1148;11,3383
-48,1164;11,3383
-48,1181;11,512
-48,1198;11,8595
-48,1215;12,0333
-48,1215;12,3808
-48,1231;12,3808
-48,1248;12,7283
-48,1248;12,9021
-48,1282;13,0758
-48,1298;13,0758
-48,1315;13,0758
-48,1315;13,0758
-48,1349;13,0758
-48,1366;13,0758
-48,1382;13,0758
-48,1416;13,0758
-48,1433;13,0758
-48,1433;13,0758
-48,1449;13,0758
-48,1449;13,0758
-48,1449;13,0758
-48,1483;13,0758
-48,1483;13,0758
-48,1483;13,0758
-48,15;13,0758
-48,15;13,0758
-48,1533;12,9021
-48,155;12,7283
-48,1567;12,7283
-48,16;12,7283
-48,16;12,7283
-48,1617;12,5546
-48,1634;12,5546
-48,1651;12,3808
-48,1667;12,2071
-48,1701;12,2071
-48,1701;12,2071
-48,1701;12,2071
-48,1718;12,0333
-48,1734;12,0333
-48,1751;12,0333
-48,1751;12,2071
-48,1785;12,5546
-48,1785;12,5546
-48,1801;12,7283
-48,1801;12,7283
-48,1801;12,7283
-48,1801;12,7283
-48,1801;12,9021
-48,1801;12,9021
-48,1801;12,9021
-48,1801;12,9021
-48,1801;12,9021
-48,1818;13,0758
-48,1818;13,0758
-48,1835;13,2496
-48,1852;13,2496
-48,1852;13,4234
-48,1852;13,4234
-48,1868;13,4234
-48,1902;13,4234
-48,1919;13,4234
-48,1952;13,4234
-48,1952;13,4234
-48,1986;13,4234
-48,2003;13,4234
-48,2003;13,4234
-48,2036;13,2496
-48,207;13,0758
-48,207;13,0758
-48,2103;12,9021
-48,2137;12,9021
-48,2154;12,9021
-48,217;12,5546
-48,217;12,5546
-48,2204;12,3808
-48,2221;12,3808
-48,2237;12,3808
-48,2271;12,2071
-48,2288;11,8595
-48,2321;11,8595
-48,2321;11,8595
