xcoord;ycoord
-48,4434;10,6432
-48,4232;11,512
-48,4199;11,512
-48,4199;11,3383
-48,4182;11,3383
-48,4165;11,3383
-48,4115;11,3383
-48,4115;11,3383
-48,4098;11,1645
-48,4065;11,1645
-48,4048;11,1645
-48,4031;11,1645
-48,3981;11,512
-48,3981;11,512
-48,3964;11,8595
-48,3947;12,0333
-48,3931;12,2071
-48,3931;12,3808
-48,3931;12,5546
-48,3914;12,5546
-48,3914;12,7283
-48,3897;13,0758
-48,3897;13,2496
-48,3897;13,4234
-48,3864;13,7709
-48,3864;13,9446
-48,3864;14,2921
-48,3847;14,6397
-48,3847;14,6397
-48,3847;14,9872
-48,383;14,9872
-48,383;15,1609
-48,383;15,1609
-48,383;15,5085
-48,383;15,856
-48,3847;16,2035
-48,388;16,3772
-48,388;16,3772
-48,3897;16,3772
-48,3914;16,3772
-48,3931;16,3772
-48,3931;16,3772
-48,3947;16,3772
-48,3964;16,2035
-48,3964;16,2035
-48,3981;16,0297
-48,4015;15,6822
-48,4031;15,3347
-48,4048;15,3347
-48,4065;14,8134
-48,4082;14,8134
-48,4082;14,4659
-48,4098;14,4659
-48,4115;14,2921
-48,4115;14,2921
-48,4132;14,2921
-48,4149;14,2921
-48,4182;14,2921
-48,4199;14,2921
-48,4232;14,2921
-48,4283;14,2921
-48,43;14,2921
-48,43;14,2921
-48,4333;14,2921
-48,4367;14,2921
-48,4367;14,2921
-48,44;13,9446
-48,44;13,7709
-48,4417;13,7709
-48,4417;13,5971
-48,4417;13,4234
-48,4417;13,2496
-48,4417;13,0758
-48,4434;12,9021
-48,4434;12,7283
-48,4434;12,3808
-48,4434;12,3808
-48,445;12,2071
-48,445;12,0333
-48,445;12,0333
-48,4467;11,6858
-48,4467;11,3383
-48,4467;11,1645
-48,4467;11,1645
-48,4484;10,817
-48,4484;10,6432
-48,4484;10,4695
-48,4484;10,2957
-48,4484;10,122
-48,4484;9,9482
-48,4484;9,7744
-48,4484;9,6007
-48,4484;9,6007
-48,4484;9,6007
-48,4484;9,6007
-48,4484;9,6007
-48,4484;9,6007
-48,4484;9,6007
-48,4484;9,6007
