xcoord;ycoord
-48,4031;5,6042
-48,3947;7,8631
-48,3914;8,0369
-48,3914;8,0369
-48,3897;8,2106
-48,388;8,3844
-48,3847;8,7319
-48,383;8,9056
-48,3813;9,0794
-48,3797;9,0794
-48,3797;9,2532
-48,378;9,6007
-48,378;9,6007
-48,3746;9,6007
-48,3746;9,7744
-48,3746;9,7744
-48,3746;9,7744
-48,3746;9,7744
-48,3746;9,7744
-48,3746;9,7744
-48,3746;9,7744
-48,373;9,7744
-48,373;9,7744
-48,3713;9,9482
-48,3679;10,122
-48,3662;10,2957
-48,3646;10,4695
-48,3629;10,4695
-48,3612;10,817
-48,3612;10,817
-48,3612;10,817
-48,3595;10,9907
-48,3579;11,3383
-48,3579;11,512
-48,3562;11,6858
-48,3545;11,8595
-48,3528;11,8595
-48,3512;12,0333
-48,3512;12,0333
-48,3495;12,0333
-48,3478;12,0333
-48,3478;12,2071
-48,3444;12,3808
-48,3411;12,3808
-48,3377;12,5546
-48,3361;12,5546
-48,3327;12,5546
-48,3294;12,9021
-48,3277;12,9021
-48,326;12,9021
-48,3227;13,0758
-48,321;13,0758
-48,3193;13,0758
-48,3159;13,2496
-48,3126;13,4234
-48,3109;13,4234
-48,3092;13,4234
-48,3092;13,4234
-48,3076;13,4234
-48,3042;13,4234
-48,3009;13,4234
-48,2958;13,4234
-48,2942;13,2496
-48,2908;13,2496
-48,2874;13,2496
-48,2858;13,0758
-48,2841;12,9021
-48,2807;12,9021
-48,2774;12,9021
-48,2757;12,9021
-48,274;12,9021
-48,2724;12,9021
-48,2724;12,9021
-48,269;12,9021
-48,2673;12,9021
-48,2656;12,9021
-48,2623;13,0758
-48,2606;13,2496
-48,2556;13,4234
-48,2522;13,5971
-48,2506;13,7709
-48,2489;13,7709
-48,2472;13,9446
-48,2439;13,9446
-48,2422;14,1184
-48,2388;14,1184
-48,2338;14,1184
-48,2321;14,1184
-48,2288;14,1184
-48,2271;14,1184
-48,2221;14,2921
-48,2204;14,4659
-48,217;14,4659
-48,2137;14,6397
-48,2103;14,6397
-48,2086;14,8134
-48,2053;14,9872
-48,2036;15,1609
-48,2003;15,1609
-48,1969;15,3347
-48,1952;15,5085
-48,1936;15,6822
-48,1902;15,856
-48,1885;16,0297
-48,1835;16,2035
-48,1801;16,3772
-48,1785;16,3772
-48,1751;16,551
-48,1734;16,551
-48,1701;16,551
-48,1667;16,7248
-48,1667;16,7248
-48,1634;16,7248
-48,1617;16,7248
-48,16;16,7248
-48,1567;16,8985
-48,1533;16,8985
-48,15;16,8985
-48,1466;17,0723
-48,1449;17,0723
-48,1433;17,0723
-48,1433;17,0723
-48,1399;17,246
-48,1366;17,246
-48,1349;17,246
-48,1349;17,4198
-48,1332;17,4198
-48,1298;17,5936
-48,1282;17,5936
-48,1265;17,7673
-48,1265;17,7673
-48,1231;17,7673
-48,1215;17,9411
-48,1198;17,9411
-48,1164;17,9411
-48,1148;17,9411
-48,1131;17,9411
-48,1097;17,7673
-48,108;17,7673
-48,108;17,5936
-48,1064;17,4198
-48,1047;17,246
-48,1047;17,246
-48,103;17,0723
-48,103;16,8985
-48,0997;16,7248
-48,098;16,7248
-48,0963;16,7248
-48,0963;16,7248
-48,093;16,7248
-48,093;16,7248
-48,0913;16,7248
-48,0879;16,8985
-48,0846;17,0723
-48,0812;17,0723
-48,0779;17,246
-48,0762;17,246
-48,0728;17,246
-48,0712;17,246
-48,0695;17,246
-48,0678;17,246
-48,0661;17,246
-48,0645;17,246
-48,0628;17,4198
-48,0611;17,5936
-48,0611;17,5936
-48,0594;17,7673
-48,0578;17,7673
-48,0578;17,9411
-48,0544;18,2886
-48,0527;18,6361
-48,051;18,6361
-48,0477;18,8099
-48,046;18,9836
-48,0443;18,9836
-48,0443;18,9836
-48,041;19,1574
-48,0393;19,3311
-48,036;19,3311
-48,036;19,5049
-48,0326;19,5049
-48,0326;19,6786
-48,0309;19,6786
-48,0292;19,8524
-48,0292;19,8524
-48,0276;19,8524
-48,0259;20,0262
-48,0242;20,1999
-48,0242;20,1999
-48,0225;20,3737
-48,0192;20,3737
-48,0192;20,3737
-48,0175;20,3737
-48,0125;20,3737
-48,0125;20,3737
-48,0075;20,3737
-48,0058;20,3737
-48,0041;20,1999
-48,0041;20,1999
-48,0024;20,1999
-48,0007;20,0262
-47,9991;20,0262
-47,9974;20,0262
-47,994;19,8524
-47,9924;19,8524
-47,989;19,8524
-47,9873;19,8524
-47,9857;19,8524
-47,984;19,8524
-47,9806;19,8524
-47,9806;20,0262
-47,979;20,3737
-47,9773;20,3737
-47,9756;20,5474
-47,9756;20,7212
-47,9739;21,0687
-47,9739;21,0687
-47,9722;21,2425
-47,9706;21,2425
-47,9689;21,2425
-47,9672;21,2425
-47,9639;21,2425
-47,9622;21,2425
-47,9605;21,2425
-47,9588;21,2425
-47,9588;21,2425
-47,9572;21,2425
-47,9555;21,2425
-47,9555;21,0687
-47,9538;20,895
-47,9504;20,895
-47,9488;20,895
-47,9488;20,895
-47,9471;20,895
-47,9437;20,895
-47,9437;20,895
-47,9437;20,895
-47,9421;20,895
-47,9404;21,0687
-47,9387;21,0687
-47,937;21,0687
-47,9354;21,0687
-47,9354;21,0687
-47,9337;21,0687
-47,932;20,895
-47,9303;20,895
-47,9287;20,7212
-47,927;20,5474
-47,927;20,3737
-47,927;20,1999
-47,927;20,0262
-47,927;20,0262
-47,9253;20,0262
-47,9253;19,8524
-47,9219;19,6786
-47,9219;19,6786
-47,9203;19,6786
-47,9203;19,6786
-47,9186;19,5049
-47,9186;19,5049
-47,9186;19,5049
-47,9169;19,5049
-47,9169;19,5049
-47,9152;19,5049
-47,9152;19,5049
-47,9152;19,5049
-47,9152;19,5049
-47,9152;19,5049
-47,9152;19,5049
-47,9136;19,5049
-47,9136;19,5049
-47,9119;19,5049
-47,9119;19,5049
-47,9085;19,5049
-47,9085;19,5049
-47,9085;19,6786
-47,9069;19,8524
-47,9069;19,8524
-47,9069;19,8524
-47,9052;20,0262
-47,9052;20,1999
-47,9052;20,3737
-47,9052;20,5474
-47,9052;20,7212
-47,9052;21,2425
-47,9052;21,2425
-47,9085;21,4162
-47,9102;21,7637
-47,9102;21,9375
-47,9102;21,9375
-47,9136;21,9375
-47,9152;22,1113
-47,9152;22,1113
-47,9152;22,285
-47,9169;22,4588
-47,9186;22,4588
-47,9203;22,6325
-47,9203;22,9801
-47,9203;23,1538
-47,9219;23,5013
-47,9219;23,6751
-47,9236;23,8488
-47,9236;24,0226
-47,9253;24,3701
-47,927;24,5439
-47,9287;24,7176
-47,9287;24,8914
-47,9303;25,2389
-47,9303;25,4127
-47,9303;25,5864
-47,9303;25,9339
-47,9337;26,4552
-47,9337;26,8027
-47,937;27,324
-47,9387;27,6715
-47,9387;27,6715
-47,9387;27,6715
-47,9387;27,6715
-47,9387;27,6715
-47,9387;27,8453
-47,9387;27,8453
-47,9387;27,8453
-47,9387;28,019
-47,9404;28,1928
-47,9437;28,3666
-47,9437;28,3666
-47,9454;28,5403
-47,9471;28,5403
-47,9471;28,5403
-47,9488;28,5403
-47,9504;28,5403
-47,9504;28,5403
-47,9521;28,3666
-47,9538;28,1928
-47,9555;28,1928
-47,9572;28,1928
-47,9588;28,019
-47,9605;28,019
-47,9622;28,019
-47,9672;28,019
-47,9689;28,019
-47,9706;28,019
-47,9722;28,1928
-47,9722;28,1928
-47,9739;28,1928
-47,9739;28,1928
-47,9756;28,019
-47,9773;27,8453
-47,9773;27,324
-47,979;27,324
-47,979;26,9765
-47,979;26,8027
-47,979;26,629
-47,979;26,629
-47,9806;26,629
-47,9823;26,629
-47,9857;26,4552
-47,989;26,4552
-47,9907;26,2815
-47,994;26,2815
-47,994;26,1077
-47,9957;26,1077
-47,9957;25,9339
-47,9957;25,9339
-47,9957;25,5864
-47,9957;25,4127
-47,9957;25,2389
-47,9957;24,8914
-47,9957;24,7176
-47,9957;24,3701
-47,9957;24,3701
-47,9957;24,1964
-47,9957;24,1964
-47,9957;23,6751
-47,994;23,5013
-47,994;23,5013
-47,994;23,5013
-47,994;23,3276
-47,994;23,1538
-47,994;23,1538
-47,9957;22,9801
-47,9974;22,6325
-48,0007;22,285
-48,0024;22,1113
-48,0041;22,1113
-48,0058;21,9375
-48,0108;21,7637
-48,0125;21,59
-48,0158;21,59
-48,0175;21,2425
-48,0209;21,0687
-48,0225;20,895
-48,0242;20,895
-48,0276;20,7212
-48,0292;20,5474
-48,0343;20,5474
-48,036;20,5474
-48,0376;20,1999
-48,041;20,1999
-48,0443;20,0262
-48,046;20,0262
-48,0477;19,8524
-48,051;19,6786
-48,0527;19,6786
-48,0544;19,5049
-48,0578;19,3311
-48,0578;19,3311
-48,0594;19,3311
-48,0645;19,3311
-48,0661;19,3311
-48,0661;19,5049
-48,0678;19,8524
-48,0678;19,8524
-48,0678;20,0262
-48,0678;20,1999
-48,0678;20,3737
-48,0678;20,5474
-48,0661;20,7212
-48,0661;21,0687
-48,0645;21,0687
-48,0645;21,4162
-48,0628;21,59
-48,0611;21,9375
-48,0611;21,9375
-48,0594;22,1113
-48,0594;22,285
-48,0594;22,4588
-48,0578;22,6325
-48,0578;22,8063
-48,0578;22,8063
-48,0578;22,8063
-48,0578;23,1538
-48,0578;23,3276
-48,0578;23,5013
-48,0578;23,6751
-48,0578;23,6751
-48,0578;23,6751
-48,0578;23,8488
-48,0594;23,8488
-48,0594;23,8488
-48,0628;23,8488
-48,0645;23,6751
-48,0678;23,5013
-48,0695;23,3276
-48,0728;23,1538
-48,0728;22,9801
-48,0745;22,8063
-48,0779;22,6325
-48,0795;22,6325
-48,0829;22,6325
-48,0863;22,6325
-48,0879;22,6325
-48,0913;22,6325
-48,093;22,6325
-48,093;22,6325
-48,0946;22,4588
-48,0963;21,9375
-48,098;21,7637
-48,098;21,4162
-48,1013;21,2425
-48,103;20,7212
-48,103;20,5474
-48,1047;20,5474
-48,1047;20,3737
-48,108;20,3737
-48,1097;20,3737
-48,1131;20,3737
-48,1181;20,3737
-48,1215;20,3737
-48,1215;20,3737
-48,1231;20,5474
-48,1248;20,7212
-48,1248;20,895
-48,1248;21,0687
-48,1265;21,2425
-48,1282;21,59
-48,1282;21,7637
-48,1315;21,9375
-48,1332;22,1113
-48,1349;22,1113
-48,1366;22,285
-48,1382;22,285
-48,1416;22,285
-48,1433;22,285
-48,1449;22,285
-48,1483;22,285
-48,15;22,285
-48,1516;22,285
-48,155;22,285
-48,1567;22,285
-48,1583;22,1113
-48,1583;22,1113
-48,16;22,1113
-48,1651;21,7637
-48,1667;21,7637
-48,1684;21,59
-48,1718;21,4162
-48,1734;21,4162
-48,1751;21,4162
-48,1768;21,4162
-48,1801;21,4162
-48,1818;21,4162
-48,1835;21,4162
-48,1868;21,4162
