xcoord;ycoord
-48,3612;8,6601
-48,3428;8,4863
-48,3394;8,6601
-48,3377;8,8339
-48,3377;8,8339
-48,3361;9,1814
-48,3327;9,1814
-48,3327;9,3551
-48,331;9,5289
-48,3294;9,5289
-48,3294;9,5289
-48,3277;9,7026
-48,326;9,7026
-48,326;9,7026
-48,3243;9,7026
-48,3243;9,7026
-48,3227;9,7026
-48,3227;9,7026
-48,3193;9,7026
-48,3176;9,7026
-48,3159;9,7026
-48,3159;9,7026
-48,3143;9,7026
-48,3126;9,7026
-48,3109;9,7026
-48,3076;9,5289
-48,3059;9,5289
-48,3042;9,5289
-48,3025;9,5289
-48,3009;9,5289
-48,2975;9,3551
-48,2958;9,3551
-48,2942;9,3551
-48,2908;9,3551
-48,2891;9,3551
-48,2874;9,3551
-48,2858;9,3551
-48,2824;9,3551
-48,2807;9,3551
-48,2791;9,3551
-48,2757;9,3551
-48,274;9,3551
-48,274;9,3551
-48,2724;9,3551
-48,2707;9,3551
-48,269;9,3551
-48,269;9,3551
-48,2656;9,3551
-48,2656;9,3551
-48,2623;9,3551
-48,2623;9,3551
-48,2606;9,3551
-48,2589;9,3551
-48,2573;9,3551
-48,2556;9,3551
-48,2539;9,3551
-48,2522;9,3551
-48,2522;9,3551
-48,2522;9,3551
-48,2489;9,3551
-48,2472;9,3551
-48,2472;9,3551
-48,2455;9,3551
-48,2455;9,3551
-48,2439;9,3551
-48,2422;9,3551
-48,2405;9,3551
-48,2405;9,3551
-48,2405;9,3551
-48,2388;9,3551
-48,2371;9,3551
-48,2371;9,3551
-48,2338;9,3551
-48,2338;9,3551
-48,2321;9,3551
-48,2321;9,3551
-48,2321;9,5289
-48,2304;9,5289
-48,2304;9,5289
-48,2304;9,7026
-48,2304;9,7026
-48,2304;9,7026
-48,2304;9,7026
-48,2304;9,8764
-48,2304;9,8764
-48,2304;9,8764
-48,2338;9,8764
-48,2338;10,0502
-48,2338;10,0502
-48,2338;10,0502
-48,2355;10,0502
-48,2355;10,0502
-48,2355;10,0502
-48,2355;10,0502
-48,2371;10,0502
-48,2371;10,0502
-48,2388;10,2239
-48,2388;10,3977
-48,2405;10,5714
-48,2405;10,5714
-48,2422;10,7452
-48,2422;10,7452
-48,2422;10,7452
-48,2422;10,919
-48,2422;10,919
-48,2422;10,919
-48,2422;11,2665
-48,2422;11,2665
-48,2422;11,4402
-48,2422;11,4402
-48,2422;11,4402
-48,2422;11,4402
-48,2439;11,4402
-48,2439;11,614
-48,2455;11,614
-48,2455;11,614
-48,2472;11,7877
-48,2472;11,7877
-48,2472;11,7877
-48,2489;11,7877
-48,2489;11,7877
-48,2489;11,7877
-48,2506;11,7877
-48,2522;11,7877
-48,2522;11,7877
-48,2539;11,7877
-48,2556;11,7877
-48,2573;11,7877
-48,2573;11,7877
-48,2589;11,7877
-48,2606;11,7877
-48,2623;11,614
-48,264;11,614
-48,2673;11,614
-48,269;11,614
-48,269;11,614
-48,2724;11,614
-48,2724;11,614
-48,274;11,614
-48,2774;11,614
-48,2791;11,614
-48,2824;11,614
-48,2874;11,614
-48,2891;11,614
-48,2908;11,7877
-48,2925;11,7877
-48,2942;11,7877
-48,2942;11,7877
-48,2942;11,7877
-48,2958;11,7877
-48,2992;11,9615
-48,2992;12,1353
-48,3025;12,1353
-48,3059;12,1353
-48,3059;12,1353
-48,3076;12,1353
-48,3092;12,1353
-48,3109;12,1353
-48,3126;12,1353
-48,3143;12,1353
-48,3159;12,1353
-48,3193;12,1353
-48,321;12,1353
-48,321;12,1353
-48,3243;12,1353
-48,326;11,9615
-48,3277;11,9615
-48,3294;11,9615
-48,331;11,9615
-48,3361;11,7877
-48,3377;11,7877
-48,3394;11,7877
-48,3411;11,7877
-48,3411;11,7877
-48,3444;11,7877
-48,3444;11,7877
-48,3444;11,614
-48,3461;11,614
-48,3461;11,4402
-48,3461;11,4402
-48,3478;11,2665
-48,3478;11,2665
-48,3478;11,2665
-48,3478;11,2665
-48,3495;11,0927
-48,3512;10,919
-48,3512;10,919
-48,3512;10,919
-48,3528;10,7452
-48,3528;10,5714
-48,3528;10,5714
-48,3545;10,5714
-48,3545;10,3977
-48,3562;10,2239
-48,3579;10,0502
-48,3579;10,0502
-48,3579;10,0502
-48,3595;10,0502
-48,3595;9,8764
-48,3595;9,8764
-48,3595;9,8764
-48,3612;9,8764
-48,3612;9,8764
-48,3646;9,5289
-48,3646;9,5289
-48,3646;9,3551
-48,3646;9,3551
-48,3646;9,3551
-48,3646;9,3551
-48,3662;9,1814
-48,3662;9,1814
-48,3662;9,0076
-48,3662;8,8339
-48,3662;8,8339
-48,3662;8,8339
-48,3662;8,8339
-48,3662;8,8339
-48,3679;8,6601
-48,3679;8,4863
-48,3679;8,4863
-48,3679;8,4863
-48,3679;8,4863
-48,3679;8,4863
-48,3679;8,4863
-48,3679;8,4863
-48,3679;8,4863
-48,3679;8,4863
-48,3679;8,4863
-48,3679;8,4863
