xcoord;ycoord
-48,2589;23,082
-48,2405;23,9508
-48,2371;24,1246
-48,2355;24,2983
-48,2338;24,2983
-48,2321;24,4721
-48,2304;24,4721
-48,2288;24,6458
-48,2254;24,8196
-48,2254;24,9934
-48,2237;24,9934
-48,2221;25,1671
-48,2204;25,3409
-48,2187;25,5146
-48,2154;25,6884
-48,2137;25,6884
-48,212;25,8621
-48,207;25,8621
-48,2053;25,8621
-48,2053;25,8621
-48,2053;25,8621
-48,2036;25,8621
-48,2036;25,8621
-48,2036;25,8621
-48,2003;25,8621
-48,1986;25,6884
-48,1952;25,6884
-48,1936;25,5146
-48,1919;25,5146
-48,1919;25,5146
-48,1902;25,5146
-48,1885;25,5146
-48,1852;25,5146
-48,1835;25,5146
-48,1818;25,5146
-48,1785;25,3409
-48,1768;25,1671
-48,1768;25,1671
-48,1751;25,1671
-48,1751;25,1671
-48,1734;25,1671
-48,1701;25,1671
-48,1684;25,1671
-48,1651;25,1671
-48,1634;25,1671
-48,1617;25,1671
-48,16;25,1671
-48,1583;25,1671
-48,1567;25,1671
-48,155;25,1671
-48,1516;25,1671
-48,1516;24,9934
-48,15;24,8196
-48,15;24,8196
-48,1483;24,6458
-48,1483;24,6458
-48,1449;24,6458
-48,1449;24,6458
-48,1433;24,6458
-48,1433;24,6458
-48,1416;24,4721
-48,1382;24,4721
-48,1366;24,4721
-48,1349;24,4721
-48,1332;24,2983
-48,1298;24,1246
-48,1282;23,9508
-48,1248;23,9508
-48,1231;23,7771
-48,1215;23,7771
-48,1181;23,7771
-48,1164;23,7771
-48,1148;23,7771
-48,1148;23,7771
-48,1131;23,7771
-48,1097;23,7771
-48,108;23,7771
-48,108;23,7771
-48,1064;23,7771
-48,1047;23,7771
-48,103;23,7771
-48,1013;23,7771
-48,0997;23,7771
-48,0997;23,7771
-48,0963;23,7771
-48,093;23,7771
-48,093;23,7771
-48,0896;23,7771
-48,0896;23,7771
-48,0863;23,7771
-48,0863;23,7771
-48,0846;23,9508
-48,0846;23,9508
-48,0846;23,9508
-48,0829;23,9508
-48,0829;23,9508
-48,0812;24,1246
-48,0795;24,4721
-48,0795;24,4721
-48,0795;24,4721
-48,0779;24,6458
-48,0779;24,9934
-48,0762;25,1671
-48,0762;25,3409
-48,0745;25,5146
-48,0728;25,6884
-48,0712;25,8621
-48,0712;26,0359
-48,0695;26,2097
-48,0678;26,2097
-48,0645;26,3834
-48,0628;26,3834
-48,0594;26,3834
-48,0578;26,3834
-48,0561;26,3834
-48,051;26,2097
-48,0494;25,8621
-48,0494;25,8621
-48,0477;25,6884
-48,046;25,5146
-48,046;25,3409
-48,046;25,3409
-48,046;25,3409
-48,046;25,1671
-48,0443;25,1671
-48,0427;24,9934
-48,0427;24,8196
-48,041;24,6458
-48,0393;24,6458
-48,0376;24,6458
-48,036;24,4721
-48,0343;24,4721
-48,0309;24,4721
-48,0292;24,4721
-48,0276;24,4721
-48,0242;24,4721
-48,0225;24,4721
-48,0209;24,4721
-48,0192;24,4721
-48,0192;24,4721
-48,0175;24,4721
-48,0158;24,4721
-48,0158;24,4721
-48,0142;24,4721
